year	month	day	ignore	cms0.25	cms2	cms3	cms5	cms7	cms10	cmt0.25	cmt2	cmt3	cmt5	cmt7	cmt10
1988	1	8	1	7.375	8.5319996	8.9519997	9.3760004	9.6929998	9.8739996	6.75	7.9200001	8.1599998	8.4799995	8.8000002	8.9700003
1988	1	15	1	7.25	8.2290001	8.6129999	8.9750004	9.2779999	9.4610004	6.75	7.6100001	7.8299999	8.1300001	8.4200001	8.6000004
1988	1	22	1	7.125	8.1280003	8.5089998	8.8310003	9.1280003	9.3240004	6.6999998	7.5100002	7.73	8.0100002	8.29	8.4899998
1988	1	29	1	6.875	7.8709998	8.2329998	8.5880003	8.9049997	9.1099997	6.5999999	7.2199998	7.48	7.7600002	8.0600004	8.2600002
1988	2	5	1	6.8130002	7.7940001	8.0159998	8.4659996	8.7810001	8.9589996	6.4000001	7.0999999	7.3200002	7.6399999	7.9499998	8.1199999
1988	2	12	1	6.6880002	7.8439999	8.1669998	8.5880003	8.9130001	9.1140003	6.4000001	7.2199998	7.4200001	7.77	8.0900002	8.2799997
1988	2	19	1	6.875	7.7779999	8.1280003	8.7919998	8.9200001	9.1239996	6.4000001	7.21	7.3899999	7.77	8.0799999	8.2600002
1988	2	26	1	6.8130002	7.6789999	8.0539999	8.4890003	8.7989998	9.0109997	6.4000001	7.1599998	7.3499999	7.6700001	7.9699998	8.1800003
1988	3	4	1	6.875	7.7249999	8.1190004	8.5769997	8.8940001	9.1129999	6.3499999	7.1999998	7.4499998	7.7399998	8.0600004	8.2799997
1988	3	11	1	6.875	7.849	8.2049999	8.5970001	8.9280005	9.1330004	6.4000001	7.1999998	7.4299998	7.7600002	8.1099997	8.29
1988	3	18	1	6.8130002	7.9349999	8.2709999	8.677	9.0539999	9.2559996	6.4000001	7.23	7.46	7.8099999	8.2299995	8.4099998
1988	3	25	1	6.875	7.9899998	8.3769999	8.7670002	9.0979996	9.2749996	6.4499998	7.4099998	7.6100001	7.9499998	8.3100004	8.4700003
1988	4	1	1	6.875	8.0609999	8.4370003	8.8470001	9.1899996	9.3710003	6.4499998	7.4099998	7.6599998	8.04	8.3999996	8.5699997
1988	4	8	1	7.125	8.0970001	8.4820004	8.8369999	9.1520004	9.309	6.625	7.4699998	7.6900001	8.0500002	8.3699999	8.5200005
1988	4	15	1	7.1880002	8.2919998	8.6420002	8.9890003	9.3509998	9.5640001	6.5999999	7.5999999	7.8499999	8.1999998	8.5299997	8.7399998
1988	4	22	2	7.3130002	8.302	8.6149998	9.0249996	9.3760004	9.599	6.6999998	7.6399999	7.8699999	8.2299995	8.5600004	8.7799997
1988	5	6	1	7.375	8.599	8.9119997	9.2519999	9.5869999	9.8059998	6.8499999	7.8699999	8.1700001	8.4799995	8.79	9.0100002
1988	5	13	1	7.4380002	8.5439997	8.8240004	9.2620001	9.5799999	9.7749996	7.0500002	7.9000001	8.1400003	8.5100002	8.8199997	9
1988	5	20	1	7.5599999	8.7349997	9.052	9.4460001	9.7810001	9.9829998	7.0999999	8.0799999	8.3199997	8.6999998	9.0200005	9.2200003
1988	5	27	1	7.5630002	8.8120003	9.1470003	9.4440002	9.7749996	9.967	7.3499999	8.2299995	8.46	8.75	9.0600004	9.2399998
1988	6	3	1	7.75	8.6009998	8.8780003	9.2030001	9.5	9.6750002	7.3000002	8.0600004	8.2399998	8.5200005	8.8100004	8.9700003
1988	6	10	1	7.6880002	8.5909996	8.8559999	9.1639996	9.4689999	9.6549997	7.25	7.9899998	8.1800003	8.4700003	8.7700005	8.9200001
1988	6	17	1	7.6880002	8.75	9.0360003	9.257	9.5670004	9.7370005	7.3000002	8.1000004	8.3000002	8.5799999	8.8800001	9.0200005
1988	6	24	1	7.75	8.5679998	8.8760004	9.0959997	9.3789997	9.5340004	7.3499999	8.0299997	8.21	8.4499998	8.7200003	8.8500004
1988	7	1	1	7.875	8.6020002	8.8269997	9.052	9.3400002	9.4709997	7.3499999	7.98	8.1400003	8.3800001	8.6499996	8.7700005
1988	7	8	1	8.0629997	8.8660002	9.0939999	9.3030005	9.5950003	9.7309999	7.5	8.25	8.4099998	8.6400003	8.9200001	9.04
1988	7	15	1	8.3129997	8.9060001	9.1230001	9.309	9.585	9.7559996	7.75	8.3100004	8.46	8.6700001	8.9200001	9.0799999
1988	7	22	1	8.25	8.9750004	9.1549997	9.3559999	9.6350002	9.8100004	7.9000001	8.3500004	8.5	8.71	8.96	9.1099997
1988	7	29	1	8.375	9.0889997	9.2799997	9.3990002	9.6540003	9.8149996	7.9000001	8.3900003	8.5699997	8.75	8.9799995	9.1199999
1988	8	5	1	8.4300003	9.1630001	9.3210001	9.4230003	9.6420002	9.8290005	7.75	8.4700003	8.6199999	8.7799997	8.9799995	9.1199999
1988	8	12	1	8.75	9.3540001	9.5209999	9.684	9.9040003	10.0869999	8.1999998	8.6800003	8.8199997	9.0299997	9.2299995	9.3599997
1988	8	19	1	8.6899996	9.4239998	9.5790005	9.7019997	9.8789997	10.0570002	8.1499996	8.7399998	8.8599997	9.0500002	9.21	9.3500004
1988	8	26	1	8.75	9.4949999	9.6940002	9.7740002	9.9569998	10.1059999	8.1999998	8.7799997	8.9200001	9.0699997	9.2600002	9.3800001
1988	9	2	1	8.625	9.1379995	9.3100004	9.4069996	9.5959997	9.7370005	8.1000004	8.4499998	8.5799999	8.6999998	8.8699999	9
1988	9	9	1	8.375	9.0369997	9.2040005	9.316	9.4969997	9.6359997	8	8.4200001	8.5200005	8.6199999	8.8199997	8.9300003
1988	9	16	1	8.375	9.0450001	9.2379999	9.3389997	9.5159998	9.6490002	8	8.3999996	8.5299997	8.6499996	8.8199997	8.9300003
1988	9	23	1	8.3100004	9.1149998	9.2869997	9.3839998	9.5469999	9.6820002	7.9499998	8.4700003	8.5600004	8.6899996	8.8599997	8.9700003
1988	9	30	1	8.625	9.0699997	9.2130003	9.2749996	9.4420004	9.5670004	8.1000004	8.4300003	8.5200005	8.6099997	8.7799997	8.8699999
1988	10	7	1	8.6199999	8.8739996	9.0459995	9.0909996	9.2639999	9.3920002	8.1999998	8.2600002	8.3400002	8.4300003	8.6099997	8.6999998
1988	10	14	1	8.6199999	8.9329996	9.0819998	9.1870003	9.368	9.5089998	8.1999998	8.3299999	8.4300003	8.5200005	8.6999998	8.8100004
